Bubble Sort, 0.003000 
Insertion Sort, 0.422000 
Selection Sort, 0.002000 
Merge Sort, 0.000000 
Bubble Sort, 0.015000 
Insertion Sort, 0.419000 
Selection Sort, 0.001000 
Merge Sort, 0.002000 
Bubble Sort, 0.003000 
Insertion Sort, 0.404000 
Selection Sort, 0.001000 
Merge Sort, 0.001000 
Bubble Sort, 0.005000 
Insertion Sort, 0.417000 
Selection Sort, 0.001000 
Merge Sort, 0.001000 
Bubble Sort, 0.005000 
Insertion Sort, 0.408000 
Selection Sort, 0.001000 
Merge Sort, 0.000000 
Bubble Sort, 0.006000 
Insertion Sort, 0.422000 
Selection Sort, 0.002000 
Merge Sort, 0.001000 
Bubble Sort, 0.002000 
Insertion Sort, 0.413000 
Selection Sort, 0.001000 
Merge Sort, 0.000000 
Bubble Sort, 0.003000 
Insertion Sort, 0.408000 
Selection Sort, 0.001000 
Merge Sort, 0.000000 
Bubble Sort, 0.004000 
Insertion Sort, 0.419000 
Selection Sort, 0.002000 
Merge Sort, 0.000000 
Bubble Sort, 0.001000 
Insertion Sort, 0.467000 
Selection Sort, 0.001000 
Merge Sort, 0.000000 
Bubble Sort, 0.008000 
Insertion Sort, 0.451000 
Selection Sort, 0.000000 
Merge Sort, 0.000000 
Bubble Sort, 0.028000 
Insertion Sort, 0.451000 
Selection Sort, 0.000000 
Merge Sort, 0.000000 
Bubble Sort, 0.001000 
Insertion Sort, 0.422000 
Selection Sort, 0.000000 
Merge Sort, 0.001000 
